129,HC,2nd edition,71,English,3,176,"Montreal, Canada",Drawn and Quarterly,9 x 6.7 x 0.8 inches,2000-08-01,6.69999980926514,0.800000011920929,9.0,inches
132,HC,First Edition edition,73,English,4,380,"New York City, USA",Pantheon,6.8 x 1.6 x 8.4 inches,2000-09-12,8.39999961853027,1.6,6.80000019073486,inches
133,SC,New edition,73,English,4,380,"New York City, USA",Pantheon,6.4 x 1.3 x 8 inches,2003-04-29,6.4,1.3,8.0,inches
136,HC,,76,Spanish,1,285,"London, UK",M Q Publications,6.7 x 0.6 x 9.4 inches,2007-02-01,7.09999990463257,1.70000004768372,9.69999980926514,inches
137,SC,Original Edition,77,English,1,352,"New York, USA",Bloomsbury USA,5.1 x 0.9 x 9.3 inches,2009-09-29,5.1,0.9,9.3,inches
138,SC,,78,English,1,712,"Milwaukee, USA",Dark Horse,5.1 x 2.2 x 7.2 inches,2013-06-04,5.1,2.2,7.2,inches
139,HC,,79,English,1,320,"Marietta, Georgia, USA",Top Shelf Productions,9 x 2 x 12 inches,2009-07-28,9.0,2.0,12.0,inches
141,SC,1st edition,81,English,1,261,"Seattle, USA",Fantagraphics,7.6 x 0.9 x 11 inches,2003-06-17,7.6,0.9,11.0,inches
142,SC,,82,English,1,237,"New York, USA",Penguin Group,5.9 x 0.8 x 9 inches,2012-11-06,5.9,0.8,9.0,inches
143,SC,First Edition,83,English,2,121,"Marietta, Georgia, USA",Top Shelf Productions,0.5 x 6.5 x 9.2 inches,2013-08-13,6.5,0.5,9.2,inches
144,SC,,84,English,1,179,"Marietta, Georgia, USA",Top Shelf Productions,0.5 x 6.5 x 9.5 inches,2015-01-20,6.5,0.5,9.5,inches
146,HC,,86,English,1,112,"New York, USA",Harry N. Abrams,7.6 x 0.6 x 5.5 inches,2009-01-01,7.6,0.6,5.5,inches
147,HC,,87,English,1,128,"Seattle, USA",Fantagraphics,7.1 x 0.8 x 9.6 inches,2009-05-05,7.1,0.8,9.6,inches
148,SC,2nd edition,87,English,1,128,"Seattle, USA",Fantagraphics,9.2 x 6.9 x 0.4 inches,2004-02-03,9.2,0.400000005960464,6.90000009536743,inches
149,SC,1 edition,88,English,1,208,"New York, USA",Doubleday,8 x 0.6 x 10.9 inches,2002-09-17,10.8999996185303,0.6,8.0,inches
150,SC,,89,English,1,200,"New York, USA",Harry N. Abrams,6 x 0.9 x 9 inches,2008-06-01,6.0,0.9,9.0,inches
151,HC,,89,English,1,208,"New York City, USA",Harry N. Abrams,6 x 1 x 9 inches,2008-06-01,6.0,1.0,9.0,inches
152,SC,2nd edition,90,English,1,478,"New York City, USA",Vertical,6 x 2.2 x 8 inches,2010-03-30,6.0,1.39999997615814,8.0,inches
153,SC,Reprint edition,91,English,2,216,"Seattle, USA",Sasquatch Books,9.5 x 0.7 x 6 inches,2005-08-30,9.5,0.7,6.0,inches
154,HC,,91,English,2,224,"Seattle, USA",Sasquatch Books,6.3 x 9.7 x 0.9 inches,2002-08-13,9.69999980926514,0.899999976158142,6.30000019073486,inches
157,SC,,94,English,2,252,"New York, USA",Four Walls Eight Windows,10 x 8 x 0.4 inches,1994-10-13,8.0,0.400000005960464,10.0,inches
158,SC,1st edition,95,English,2,285,"Seattle, USA",Fantagraphics,7.2 x 0.9 x 10.8 inches,2001-12-17,7.2,0.9,10.8,inches
159,HC,1st edition,96,English,1,512,"Seattle, USA",Fantagraphics,0.9 x 0.2 x 1.1 inches,2003-11-17,7.5,0.699999988079071,9.0,inches
160,SC,First Edition,97,English,1,145,"Montreal, Canada",Drawn and Quarterly,7.6 x 0.6 x 9.9 inches,2002-08-01,7.6,0.6,9.9,inches
161,SC,Reprint edition,98,English,1,143,"Montreal, Canada",Conundrum Press,0.5 x 7.2 x 9.5 inches,2013-05-23,7.19999980926514,0.5,9.5,inches
162,SC,,99,English,1,180,"New York, USA","Henry Holt and Company, LLC",6.4 x 0.5 x 9.1 inches,2009-03-31,6.4,0.5,9.1,inches
163,SC,,100,English,1,362,"Montreal, Canada",Drawn and Quarterly,10 x 6.5 x 0.2 inches,2011-04-26,6.5,1.10000002384186,8.80000019073486,inches
164,SC,1st edition,101,English,1,176,"Montreal, Canada",Drawn and Quarterly,6 x 0.5 x 8.5 inches,2007-05-01,6.0,0.5,8.5,inches
165,HC,1St Edition,102,English,1,468,"Columbus, USA",Cartoon Books,1.5 x 8 x 10.2 inches,2013-09-17,8.0,1.5,10.2,inches
166,SC,Reprint edition,103,English,1,108,"Vancouver, Canada",Douglas and McIntyre,8.6 x 7.9 x 0.4 inches,2014-09-30,8.6,0.400000005960464,7.90000009536743,inches
167,HC,,103,English,1,120,"Vancouver, Canada",Douglas and McIntyre,9 x 8.4 x 0.6 inches,2010-02-23,9.0,0.600000023841858,8.39999961853027,inches
170,HC,,105,English,1,96,"San Diego, USA",IDW Publishing,13.7 x 9.4 x 1.7 inches,2013-12-26,6.80000019073486,0.800000011920929,9.5,inches
171,HC,Anv Spl Dl edition,106,English,2,272,"Seattle, USA",Fantagraphics,9.5.2011,2011-05-09,10.3999996185303,0.899999976158142,7.80000019073486,inches
172,SC,,106,English,2,227,"Seattle, USA",Fantagraphics,7.6 x 0.6 x 10 inches,2002-01-17,7.6,0.600000023841858,10.0,inches
175,HC,,108,English,1,80,"New York, USA",First Second,6.4 x 0.6 x 8.7 inches,2011-12-06,6.4,0.6,8.7,inches
178,HC,1st edition,111,English,3,104,"Montreal, Canada",Drawn and Quarterly,7.1 x 0.8 x 9.1 inches,2007-10-02,7.1,0.8,9.1,inches
179,SC,1st Reprint edition,111,English,3,108,"Montreal, Canada",Drawn and Quarterly,6.6 x 0.4 x 9.2 inches,2009-04-28,6.6,0.4,9.2,inches
180,SC,Gph edition,112,English,2,117,"Milwaukee, USA",Dark Horse,0.2 x 8.8 x 11.5 inches,1992-10-13,8.80000019073486,0.200000002980232,11.5,inches
181,HC,New edition,112,English,2,117,"Milwaukee, USA",Dark Horse,9.2 x 0.6 x 11.9 inches,2007-12-18,9.2,0.6,11.9,inches
182,HC,,113,English,1,117,"Milwaukee, USA",Dark Horse,,1993-08-10,6.59999990463257,0.5,10.1000003814697,inches
183,SC,2nd Printing Edition,113,English,1,200,"Milwaukee, USA",Dark Horse,10.1 x 6.6 x 0.5 inches,1992-01-01,6.59999990463257,0.5,10.1000003814697,inches
184,HC,First Edition,114,English,1,142,"Toronto, Canada",Groundwood Books,0.8 x 7 x 10.2 inches,2008-02-28,7.0,0.800000011920929,10.2,inches
185,SC,Reprint Edition,114,English,1,144,"Toronto, Canada",Groundwood Books,10 x 6.9 x 0.4 inches,2010-02-23,6.90000009536743,0.400000005960464,10.1000003814697,inches
186,SC,,115,English,2,210,"New York, USA",DC Comics,7 x 0.5 x 8.8 inches,2000-03-01,7.0,0.5,8.8,inches
187,HC,,115,English,2,224,"New York City, USA",Vertigo,7 x 0.6 x 9.2 inches,2010-06-08,7.0,0.6,9.2,inches
189,HC,Deluxe edition,117,English,1,168,"New York, USA",DC Comics,7.4 x 0.5 x 11 inches,2009-11-17,7.4,0.5,11.0,inches
190,SC,New edition,117,English,1,168,"New York City, USA",DC Comics,6.6 x 0.3 x 10.2 inches,2014-04-08,6.6,0.3,10.2,inches
191,HC,First Edition first Printing edition,118,English,1,216,"Marietta, Georgia, USA",Top Shelf Productions,6.5 x 0.5 x 9.5 inches,2008-12-02,6.5,0.5,9.5,inches
