415,Deborah,Marks,0,,,,,Unknown,
416,Al,Vey,,,,,,Unknown,
417,Grant ,Morrison,1,UK,UK,,1960-01-31,White,
420,Rober Owen,Callahan,1,USA,,2008-01-28,1942-04-23,White,Bob Callahan
421,Barry,Gifford,1,USA,,,1946-10-18,White,
422,Scott,Gillis,1,USA,,,,White,
423,Bruce Douglas,Patterson,1,USA,,,1953-01-06,,
424,Richard Joseph,Giordano,,USA,,2010-03-27,1932-07-20,,Dick Giordano
425,John Thomas,Totleben,1,USA,,,1958-02-16,,
426,Stan,Woch,1,USA,,,1959-07-08,White,
427,Alfredo P.,Alcala,1,Philippines,,2000-04-08,1925-08-23,Asian,
428,Ron,Randall,1,USA,,,1956-11-22,White,
429,Tom,Mandrake,1,USA,,,1956-05-26,White,
430,Paul,Smith,1,USA,,,1953-09-04,,
431,Bob,Wiacek,1,USA,,,1953-01-07,White,
432,Jaime,Hernandez,1,USA,,,1959-10-10,Hispanic Origin,Los Bros Hernandez
438,Gerhard,Gerhard,1,Canada,,,1959-04-14,White,Gerhard
439,Humberto,Ramos,1,Mexico,,,1970-11-27,Hispanic Origin,
440,Sandra,Hope,0,,,,,,
441,Amie,Grenier,0,,,,,,
442,Roy,Thomas,1,USA,,,1940-11-22,White,
443,Michael Terry,Gilbert,1,USA,,,1951-05-07,White,
444,Philip Craig,Russell,1,USA,,,1951-10-30,White,
445,Martin I,Green,1,,,,,,
446,Douglas,Moench,1,USA,,,1948-02-23,White,Doug
447,Kelley,Jones,1,USA,,,1962-06-23,White,
449,Steve ,Oliff,1,,,,,,
450,Daniel,Vozzo,1,,,,,,
